#Default

; ships.tbl
456, "What we have dubbed the SAC 2 is simply a more heavily armored form of the standard Shivan cargo container.  We believe that this is where the Shivans keep their more precious supplies.  SAC 2s are to be captured or destroyed at every opportunity."

457, "The Cain is by far the most common cruiser in the Shivan fleet.  It is also the weakest.  However, the Cain should not be underestimated.  It has many turrets, as well as a cluster bomb defensive mechanism.  As a strike cruiser, the Cain mostly appears in attacks against GTA or PVN capital ships and cruisers.  In these cases, it should be destroyed immediately.  The primary weakness of the Cain appears to be its unshielded turrets.  Most of the turrets on the Cain can be destroyed with minimal damage.

The Cain is a class B threat."

458, "While far more rare than its counterpart, the Cain-class cruiser, the Lilith is one of the most ferocious cruisers we have had the misfortune of combating.  It has extremely strong weapon systems, as well as a very thick armor which our cannons can barely penetrate.  One for one, the Lilith can easily destroy any of our cruisers.  It is for this reason that they should be considered a primary target for all bomber squadrons in the GTA.

The Lilith should be considered a class A threat to any ships that encounter it."

459, "While the Demon-class destroyer is easily one of the most massive ships we have yet seen, it is not the biggest or most powerful in the Shivan armada.  However, it is still quite dangerous, with a plethora of missile turrets and two full squadrons of fighters.  It is suggested that these capital ships be destroyed by bombers, as all cruisers that have attempted to engage a Demon have been destroyed.

The Demon is a class A threat in any allied system."

460, "The Lucifer is the greatest threat to the survival of the GTA, the PVN, and both the Terran and Vasudan species.  It wields three massive flux cannons which can destroy one of our capital ships in a few hits.  These same cannons have been seen bombarding colonized worlds.  With four full fighter squadrons and a massive array of defensive turrets, the Lucifer would be extremely difficult to destroy in a normal situation.  The fact that it is protected by a sheath shielding system which makes it completely impervious to any kind of kinetic or plasma damage makes it impossible to destroy.  We have yet to find a way to breach this shielding technology.  It is hoped that a solution will be found soon.

Assuming that a solution is found, we have managed to gather enough data on the Lucifer to destroy it.  In a recon mission, we were able to determine that the Lucifer is powered by five reactors across its surface.  If these reactors are destroyed in a short amount of time, the Lucifer will be stopped.  If we cannot stop the Lucifer, we do not expect to be able to defeat the Shivans.

We have no way of knowing if there is more than one Lucifer-class destroyer.  However, any that exist should be considered more dangerous than a class A threat."

461, "We believe that the sole purpose of the Trident is to guard Shivan repair and supply depots.  It is not too strong, but in large numbers it can be dangerous."

; traitor.tbl

503, "Willfully firing on allied ships is a capital offense, punishable by death.  You are hereby stripped of your rank and your citizenship in the GTA.  You will appear at 0700 hours at the League of Defense Justice Ministry for your court martial."

504, "Don't fire upon friendly ships."

; weapons.tbl

505, "GTW ML-16 Laser"

506, "Standard issue
Medium Hull Damage"

507, "Argon laser weapon - uses transparent ceramic technology in order to create an optical system that is extremely durable and stable under battle conditions - provides adequate destructive damage to the hull of enemy ships by vaporizing molecular bonds at the target area and destabilizing molecular bonds across the grain of the hull material.

The GTA issues ML-16 Lasers to every fighter and bomber in service."

508, "PVW VLL-9 Laser"

509, "Neon laser weapon - uses silvered optics to create a coherent package of energy that is extremely reliable under battle conditions - energy package infuses plasma bolt which is fired at a rate of 2 rounds/second - high thermal mass vaporizes most materials upon impact - prolonged application will cause material integrity failure and hull breach.

Standard issue to Vasudan ensigns.  This cheap, mass-produced laser cannon is similar in performance to the ML-16 but is slightly more effective against insulated subsystems."

510, "GTW-41 Disruptor Cannon"

511, "Standard issue
Tactical Weapon
Damages Subsystems"

512, "A gas-focused krypton laser - when the ship is in flight, the chamber of the GTW-41 rotates at a constant speed - a small amount of NO2 is injected into the container .05 ms prior to the emission of the laser light - the rotation of the NO2 in the chamber focuses the laser pulse to a state that is only very slightly (1%) diffused - after the laser pulse is emitted from the chamber into space, the chamber expels the NO2 into space (thus expelling ionized molecules and moisture) - the process repeats for each subsequent burst of laser energy - as this laser is very slightly diffused, it is not effective as a destructive weapon, but as a tactical weapon - the Disruptor Cannon is best suited and is used for the permanent disabling of enemy ship subsystems.

The Disruptor Cannon should be utilized in all capture operations in order to minimize risk of target's destruction."

513, "GTW-41x Advanced Disruptor"

514, "Advanced Version
Tactical Weapon
Damages Subsystems"

515, "The Advanced Disruptor Cannon is much like the GTW-41 Disruptor.  However, its speed and higher subsystems damage make it much more useful in operations against faster moving targets."

516, "GVW Akheton SDG"

517, "Tactical Weapon
Subsystem Disruption"

518, "A gas-focused krypton laser - fixed position firing chamber with quartz-timed injector - dynamic magnetization of the diffused laser pulse responds to feedback from targeting sensors - enhanced gaseous acceleration technology results in higher projectile velocity - as this laser is very slightly diffused, it is not effective as a destructive weapon, but as a tactical weapon - best suited and used for the permanent disabling of enemy ship subsystems.

The Akheton Subsystem Disruptor Gun is a Vasudan retrofit of the GTW-41x Advanced Disruptor cannon.  Alongside the Prometheus Retrofit it is being pushed into mass production as part of a new generation of standard-issue weaponry, replacing the ML-16s and Disruptor Cannons used since the war between our species ten years ago.  While optimized for next-generation warships currently in development, older fighters may be unable to keep up with its demanding power requirements."

519, "GTW-15 Avenger Cannon"

520, "Special Issue
Projectile Weapon
Low Shield Damage"

521, "A rapid-fire, computer-controlled radar and gun system - capable of firing at a rate of more than 4500 rounds per minute - used primarily for close-defense situations - uses closed-loop radar technology to locate, identify, and direct a stream of highly destructive 45mm projectiles to the target.

With the advent of shield technology, the Avenger is preferred over the ML-16 in any ship that can carry it.  Its extra damage against hulls make it one of the best anti cruiser weapons.  It has also proven very effective against Vasudan fighters.  However, its substandard anti-shield capabilities make it a poor choice for dogfighting Shivans, although far better than the ML-16."

522, "GTW-32 Flail Rifle"

; rank_EA.tbl

523, "Ensign"

524, "You have received your commission in the EA. Congratulations, Ensign."

525, "Lieutenant Junior Grade"

526, "Because of your achievements, character, and potential, you are duly awarded the rank of Lieutenant Junior Grade."

527, "Lieutenant"

528, "After reviewing your service record and the recommendations of your superior officers, Command has authorized your promotion. Congratulations, Lieutenant."

529, "Lieutenant Commander"

530, "For your excellent record of service, leadership, and conduct under fire, you have attained the rank of Lieutenant Commander."

531, "Commander"

532, "Because your achievements distinguish you as an officer of the highest caliber, you have been promoted to the rank of Commander."

533, "Captain"

534, "For your brilliance as a tactician and pilot, Command confers upon you the rank of Captain."

535, "Commodore"

536, "Captain, your long and illustrious record distinguishes you as a leader of integrity, courage, and wisdom. You are duly promoted to the rank of Commodore."

537, "Rear Admiral"

538, "On behalf of the EA Security Council, it is my honor to confer upon you the prestigious rank of Rear Admiral. Congratulations."

539, "Vice Admiral"

540, "Your career stands as a shining example of our ideals and values. On behalf of the EA Security Council, I hereby confer upon you the prestigious rank of Vice Admiral."

541, "Admiral"

542, "Congratulations. You have earned your place in the highest echelon of allied leadership. Your character, courage, and genius are an inspiration to us all. On behalf of the EA Security Council, I hereby confer upon you the prestigious rank of Admiral. Now go read a book."

; weapons.tbl

543, "Developed as an anti-Shivan weapon, the Shield Breaker inflicts massive damage to enemy defensive systems.  This weapon causes no structural damage, but coupling it with an anti-hull cannon is very effective against larger Shivan bombers such as the Seraphim."

544, "GTW-43 Leech Cannon"

545, "Tactical Weapon
Drains Energy
Low Damage"

546, "The Leech Cannon depletes the power supply of enemy fighters.  Use it to disable afterburners, energy weapons, and shields.  No subsystems targeting is required, just point and shoot.

The Leech Cannon is an anti-fighter weapon with minimal effect against larger vessels."

547, "GTW UD-1 Volz"

548, "Prototype
Shivan weapon derivative
Moderate Hull Damage
Moderate Shield Damage"

549, "UD-1 Volz"

550, "Unstable Derivative Mark One - Xaser weapon, firing an intense, highly focused beam of x-ray emissions - modified power conversion unit interfaces directly with Shivan electronics - extremely limited availability during testing phase.

The UD-1 Volz is a weapon prototype retrofitted from Shivan armaments captured by the GTI.  R&D has modified an undisclosed number of fighters to mount the cannon, and preliminary tests have shown it to be effective against shields and hulls of all varieties."

551, "GTM MX-50"

552, "Standard Issue
Fire and Forget"

553, "Suitable for all space battles - defensive and offensive - medium payload (16.5 Kt) - infrared tracking and semi-intelligent targeting - pilot chooses desired target, and the MX-50 tracks the chosen target based off the emission of heat from the - engine, the weapon bays, and the cockpit of the target ship - the MX-50 will always attack a target that is determined to be hostile by the onboard computer of any GTA combat vessel, thus ensuring a higher kill rate, should the pilot find himself in a heated battle situation where precise aiming might be difficult.

Early experiments with energy based defenses like the deflector array at Ross 128 have shown that this weapon is exceedingly weak against anything besides steel-based targets."

554, "GTM-3 Fury Missile"

555, "Standard Issue
Maximum Compatibility"

556, "Small, fast dumbfire missiles - fired in swarms - GTA fighters can carry more Fury missiles than conventional missiles, due to their small size - used for distraction and other tactical measures - very small payload (3 Kt).

Use is recommended in close combat situations and against larger targets where tracking is a non-issue."

560, "GTM-9 Interceptor"

561, "Standard Issue
Fast Target Lock"

562, "All-aspect seeking - laser tracking senses energy reflected off a target from the primary weapon systems of the target, increasing single-pass kill probability - medium payload (18.5 Kt) - missile is designed to pierce reinforced hull, thus securing itself to the target, prior to detonating (15 ms delay).

This is the standard issue fighter killer in the GTA.  Designed to take out fighters with minimum hassle, a simple lock is all that is needed to grab the enemy's attention.  Short lock time, good speed, and decent payload makes this the best missile to use against all but the strongest ships.  Its effectiveness against large targets, however, is less than a typical laser run, making this primarily a ship-to-ship missile."

563, "GTM-4 Hornet Swarm Missile"

564, "Special Issue
Swarm Type
Slow Target Lock"

565, "Infrared and ultraviolet tracking - designed to fire in small groups of 4 missiles per burst - light medium payload per missile (12 Kt) - semi-intelligent on-board tracking - single-pass kill probability will not exceed 60% on average - designed as an offensive version of the Fury.

As a ''swarm'' based weapon, this missile can take out an unshielded fighter without any difficulty.  Its four missile system almost guarantees one or two hits, and its speed is quite amazing.  Twice as powerful against naked hulls."

566, "GTM Phoenix V"

567, "Special Issue
Anti-Bomber Missile
Slow Target Lock"

568, "All-aspect seeking - same tracking system as the Interceptor - large payload (50 Kt), but slower than the Interceptor - one of the best fire-and-forget missiles ever developed - many fighter pilots within the GTA regard the Phoenix V as the weapon of choice against high value, heavily defended targets.

The number one bomber killer in our arsenal, this is the single most damaging missile that can be equipped on a fighter craft.  The longer lock time and slower speed make it less of a dogfight weapon and more of an anti-bomber warhead.  Its extra damage against shields makes it especially useful against the Shivan bombers."

569, "GTM-31 Disruptor Missile"

570, "Advanced Prototype
Tactical Missile
Disrupts Subsystems"

571, "Advanced signal processing - high precision interception capability - small payload (9 Kt), combining both conventional explosives and a localized blast of energy caused by the effect of impact upon the laser-propulsion system of the missile - designed to temporarily disable subsystems on hostile targets.

The D-Missile is designed to temporarily stop a cruiser or destroyer from firing its laser turrets.  The effect will last about 10 seconds per missile fired, so using these to temporarily disable a cruiser should usually be for suppression until the cruiser is destroyed, or whatever was trying to evade the cruiser has gotten out of range.  Only a few ships can carry these - and they are very scarce - so proper utilization is important."

581, "GTM-43 Stiletto"

582, "Standard Issue
Tactical Missile
Destroys Subsystems"

583, "Heat seeking - laser tracking similar to the Interceptor - missile is protected by a small shield system, allowing for greater success in payload delivery during busy melee situations and intense firefights - fast, but low in-flight maneuverability compared to other missiles of comparable size - low maneuverability due to the size of the missile's payload (60 Kt) and on-board shield system.

With the ability to take out most subsystems in one hit, and as simple to fire as an MX-50, the Stiletto is the best ship disabling bomb developed by the GTA.  Effective against turrets, engines and any other kind of subsystem, the Stiletto is a valuable asset to a bombers arsenal.  However, it's slow, unmanageable, and it can't do any real hull damage."

584, "GTM-11 EM Pulse"

585, "Advanced Missile
Electromagnetic Pulse weapon
Anti-bomber weapon"

586, "Upon impact, the EM Pulse temporarily disables the electronics systems of the target ship.  This renders the target ship unable to track targets, manage communications, or gain aspect missile lock.  This has numerous tactical applications.  For example, a direct hit with an EM Pulse missile will prevent bombers from launching aspect-seeking warheads for several seconds.  Once the EMP field has worn off, they must also take the time to reacquire missile lock, granting you valuable time."

590, "GTM-3 Tsunami Bomb"

591, "Special Issue
Anti-Cruiser Bomb
Tactical Anti-Matter Warhead
Long Lock/Reload Time"

592, "Intelligent tracking similar to GTA targeting system - prior to launch, communicates with ship computer, gathering data about enemy target types and whereabouts - slow, low maneuverability - antimatter warhead (500 tonne mass-to-energy conversion) - due to instability of antimatter, no more than 10 may be carried on board a GTA bomber at any given time, unless pilot is granted a special permit by an appropriate governing body.

The Tsunami has now become the standard Terran bomb used to take out large targets.  Its short life requires that you get within 1500 meters of the target before sending it off, and since it needs a lock to be fired, it takes a brave pilot to fly straight enough for long enough to let one of these fly.  A few Tsunamis will take out almost any ship, barring a destroyer.  The antimatter warhead also washes over shields a little, so as long as it isn't too close to the center of the blast, a fighter or bomber has a good chance of surviving detonation."

596, "GTM-N1 Harbinger Bomb"

597, "Prototype
Anti-Capital Ship Bomb
Tactical Fusion Warhead
Extremely Long Lock/Reload Time"

598, "Fusion bomb surrounded by 3 salted fission bombs - propulsion unit is a half-size version of a regulation GTA fighter thruster (Class II) - given the weight of the payloads, the missile is slow despite the power of the thruster - as the Harbinger is exceptionally large, GTA bombers are limited to carrying 6 of these weapons at any given time - the resultant shock wave from this weapon is potentially deadly, due to the size of the payloads (5000 Mt in total) - use near allied installations or allied ship groupings is strongly discouraged by the GTA - most effective when used in preemptive defensive strike against non-military installations.

The Harbinger is our best chance of destroying the Lucifer."

; SAH-shp.tbm

3061, "This vessel seems to be cobbled together out of Elysium parts. It has powerful engines for moving heavy cargo containers."

; GTI_Modular-shp.tbm

3062, "Solar panels. Central Pipe is scaled to fit the umbilical system. 44m long."

; ships.tbl

3182, "Harr!  The FS2 Volition Bravos is the scurviest ship in the known universe.  Furl yer sails, strike yer colors, and prepare to be boarded by the FreeSpace 2 team!"

; SAH-wep.tbm

3357, "EAI Targeting Torpedo"

3358, "Special Issue
Electronic Warfare"

3359, "EAI Targeting Torpedo"

3360, "This weapon is classified level Upsilon."

; rank.tbl

3775, "You have received your commission in the GTA. Congratulations, Ensign."

3776, "Because of your achievements, character, and potential, you are duly awarded the rank of Lieutenant Junior Grade."

; messages.tbl

3795, "Beta wing has arrived.  Awaiting orders."

3796, "Beta wing has arrived."

3797, "Beta wing has arrived.  Awaiting orders."

3798, "Watch your back, sir!"

3799, "Delta wing has arrived.  Awaiting orders."

3800, "Delta wing has arrived.  Awaiting orders."

3801, "That's affirmative, sir.  Departing now."

3802, "Roger, disabling your target."

3803, "Roger, disabling your target."

3804, "Affirmative, sir.  Disarming your target."

3805, "Affirmative, sir.  Disarming your target."

3806, "Engaging enemy."

3807, "Engaging now, sir."

3808, "Engaging enemy."

3809, "Epsilon wing has arrived.  Awaiting orders."

3810, "Epsilon wing has arrived."

3811, "Gamma wing has arrived."

3812, "Gamma wing has arrived.  Awaiting orders."

3813, "Hull taking serious damage!"

3814, "Roger, disregarding your target."

3815, "You have nothing targeted, sir."

3816, "Aim at the hostiles, pilot!"

3817, "Impressive, pilot!"

3818, "Where are you going, pilot?"

3819, "Where are you going, pilot?"

3820, "You will pay for your treason, pilot!"

3821, "You will pay for your treason, pilot!"

3822, "You will pay for your treason, pilot!"

3823, "You are firing on friendly targets, pilot."

; ships.tbl

3824, "Advanced Space Superiority"

3825, "Poor"

3854, "Interceptor"

3883, "Very Poor"

; weapons.tbl

3885, "GVW Akheton SDG"

; messages.tbl

3945, "Calling in for support."

#End
