#Default

; cutscenes.tbl

835, "All right Pilot, I believe that will be enough for today.  The Neptune needs to continue its training elsewhere and you've had enough for one day.  You've done a good job, considering you're just a rookie.  Return to base."

836, "First, make sure that you still have Freighter 01 targeted."

837, "To do this, press the communications [$c$] key to bring up the messaging window.  Select [2] for wing, and [1] for Epsilon.  Finally, press [0] for Depart."

838, "Don't worry, the missiles being fired at you are not armed and will not harm you at all."

839, "You will use your afterburners to help maintain a high speed.  Additionally, you should try to keep the missile pointer at a 3 or 9 o'clock position."

840, "You will do this by pressing the communications [$c$] key to bring up your messaging window, followed by the [5] key for Rearm."

841, "Check your indicator in the lower central portion of the HUD which shows the ETA for the support ship."

842, "Keep in mind a support ship can only load as many weapons as it has on board.  It may not be enough to fully reload you."

843, "When you have succesfully evaded a missile, an indicator will come up in the upper portion of your targeting reticle.  This will alert you to the fact that you indeed evaded the missile."

844, "Inability to follow instructions results in immediate failure.  Jump back to base to reschedule training phase one."

; btm-05.fs2

845, "Advanced Training #2"

846, "Training Mission #5.  Aspect seekers, shield system."

847, "Welcome to Advanced Training."

848, "As you know, research has been completed on the new shielding technology.  Shields are being added to all fighters and bombers.  In this training mission, you will be instructed on the use of your shield system."

849, "In addition to the shield technology, the new Interceptor aspect seeking missiles is now available.  They are more powerful than the MX-50s, but require a lock before they may be fired.  You will learn how to properly use the Interceptor in this mission."

850, "The shield is an important addition to your ship, and the Interceptors are a formidable addition to your arsenal.  You must learn how to use them well."

851, "Congratulations.  You have completed your training."

852, "You departed before completing training.  You must complete this training mission before continuing."

853, "Target Freighter 1"

854, "Press $H$"

855, "Fire Interceptor"

856, "Target Weapons subsystem"

857, "Destroy Weapons"

858, "Destroy Freighter 1"

859, "Destroy Drones"

860, "Destroy DroneB fighters"

861, "Balance Shields"

862, "Press $q$"

863, "Maximize Front Quadrant"

864, "Press $Up Arrow$"

865, "Maximize Rear Quadrant"

866, "Press $Down Arrow$"

867, "Complete Advanced Technology Training"

868, "All right.  First we'll cover use of the aspect seeking Interceptor missiles.  Note that you are fully equipped with Interceptors."

869, "Unlike heat seeking missiles, such as the MX-50, you must acquire a lock on your target in order for an aspect seeker to home."

870, "However, the aspect seeker is well worth this effort, as its homing ability is much stronger."

871, "Once fired, the aspect seeker will track its target anywhere in space.  Once the heat seeker loses track of its target, it is not likely to reacquire lock."

872, "Freighter 1 is now entering.  Let's see how you do with those Interceptors."

873, "Target the freighter. [Press $H$]"

874, "Notice the red indicator moving towards your target.  That's the Aspect Diamond.  Once it has moved onto your target, you'll see the lock indicator.  This indicates your Interceptors are locked and ready to fire."

875, "Now, fire one Interceptor at the freighter."

876, "Note how fast the Interceptor moves.  They also deliver quite a payload."

877, "Note that the Interceptor is nearly useless if fired before lock has been attained.  This is a crucial difference between the Interceptor and the MX-50."

878, "Now, target the Weapons subsystem on the freighter. [Press $S$ until targeted.]"

879, "Good.  Now, wait until you have attained lock on the Weapons subsystem."

880, "Now, fire your Interceptors until the Weapons subsystem has been destroyed."

881, "Well done.  Note your Interceptors will be effective in destroying subsystems on large targets."

882, "Now, unload your Interceptors until you've destroyed Freighter 1."

883, "Excellent job.  Now it's time to destroy some moving targets."

884, "A round of Interceptors can be fired every 3 seconds.  Fire another round and note the countdown timer in your Weapons Gauge."

885, "Your ship is equipped with the new shielding technology.  It is able to absorb a large amount of incoming weapon energy."

886, "As the shield absorbs damage, it becomes weaker.  However, it automatically regenerates itself over time."

887, "Your shield integrity gauge is located at the lower right of your HUD.  It is flashing now."

888, "Your shield is divided into four quadrants, each able to withstand a certain amount of damage."

889, "When a quadrant of your shield suffers damage, the corresponding section of your Shield Integrity gauge will flash.  Observe."

890, "Note the front of your shield is flashing as if you've taken damage."

891, "Note how the gauge changes as your shield takes more damage.  When a shield quadrant has been destroyed, all damage will pass through to the underlying hull."

892, "Note that your shield automatically recharges over time.  I will accelerate this process to save time."

893, "Now observe as the front quadrant of your shield repairs itself to full strength."

894, "Now your shield has recharged back to full strength.  Next we'll cover shield management."

895, "There are a number of ways you can manage your shield.  The simplest is the Equalize Quadrants function."

896, "Well done.  Note that your front section has been largely recharged.  This came at the expense of shield energy from the three other quadrants."

897, "I have damaged your front shield quadrant again.  Now use your Equalize Quadrants function to repair your front quadrant.  [Press $q$]"

898, "I'm now going to reduce most of your shield strength.  Note that three of your four quadrants are now near zero strength."

899, "Now you'll learn how to maximize shield strength in a specific quadrant."

900, "First, you'll maximize the strength in your front quadrant.  [Press $Up Arrow$ several times.]"

901, "Well done.  Note that your front quadrant is at full strength, while the others were drained."

902, "Maximizing your front shield quadrant is especially useful when you're attacking a large ship against its turret fire."

903, "Now I want you to maximize your rear shield quadrant.  [Press $Down Arrow$ several times.]"

904, "If you're pursuing an important objective and are being attacked from the rear, maximizing your rear shield quadrant can be very useful."

905, "Well done, Pilot.  Aspect seeking missiles are an important part of your arsenal.  Use them well."

906, "And proper shield management can make all the difference in a crucial battle."

907, "This concludes your training.  Return to base."

908, "In order to gain aspect lock on a moving target, you must keep the target's lock box in a fixed location inside your HUD reticle."

909, "I will now call in fighter drones.  When the first drone enters, target it and acquire lock.  Try to keep the target indicator in the center of your HUD reticle."

910, "Once you have acquired lock, fire an Interceptor to destroy the drone.  Note, these drones will not be using countermeasures."

911, "Well done.  Now let's try something a little more difficult.  Wings of two drones will appear at once.  Destroy them all."

912, "All right.  Now we'll move on to your shield system."

913, "Note that you'll need to be in range of these drones before you can gain aspect lock.  Fly towards them."

914, "You're low on Interceptors.  You should rearm soon. [Press $Shift-R$]"

; EveOfDestructionRedux.fs2

915, "Eve of Destruction Redux"

916, "First mission in demo campaign for FreeSpace.  Redux."

917, "Pilot Attend:  Welcome to the $f GTD $f Galatea.  Your first assignment as a part of the $f Galatea's crew is to stand the 3rd watch.  You will patrol the area surrounding the $f GTC $f Orff.  The $f GTC $f Orff suffered an engine breakdown in the Betelgeuse system, and is awaiting repairs."

918, "You will be on watch with one other ship, $f Alpha $f 2.  Since this is your first watch, $f Alpha $f 2 will be piloted by Lt. Harbison, a seasoned veteran and top-notch pilot."

919, "You will begin your watch by jumping to Betelgeuse near the $f GTC $f Orff."

920, "We have reports of Vasudan fighters in this system, so stay alert.  Engage and destroy any hostiles that threaten the $f Orff."

921, "At the end of your watch, you will be relieved by $f Delta wing.  Upon $f Delta's arrival, you are to return to base."

922, "Your primary objective will be to protect the $f Orff until the end of your watch.  We expect you to carry out your orders to the letter."

923, "You may confirm your ship hardware and weapons loadout for this mission.  If found satisfactory, commit to the mission.  $f GTD $f Galatea quarterdeck signing off."

924, "The GTC Orff was destroyed during your watch.  Dozens of lives were lost due to your poor performance.  This catastrophe will surely result in an increased Vasudan presence in this system.

There is no place for you in the GTA.  You are dismissed."

925, "If you kill the Vasudan fighters before they reach the Orff, they will not be able to harm it.  Concentrate on one fighter at a time.  When it's destroyed, move to the next.  After Delta wing arrives, you may return to base."

926, "You did a fine job on your first watch, Pilot.  Your strong sense of duty will serve the Alliance well.

The presence of Vasudans in this system gives us little reason to worry.  The ships that attacked you and the Orff were probably remnants of the Vasudan convoy that we hit last week."

927, "Your performance was excellent.  We have no recommendations for you."

928, "Despite your efforts, Vasudan fighters escaped from the system.

If we allow them to elude us, pilot, we appear weak.  We won't tolerate this sort of embarrassment again."

929, "If you are having trouble killing the Vasudans, try launching missiles.  MX-50s automatically seek out a hostile target if it is within range.  After Delta arrives, you can still help them out by destroying more Vasudans."

930, "We are saddened to learn of Lieutenant Harbison's demise.  He was a brave and skillful pilot.  A memorial service will be held at 0930.  You are ordered to attend."

931, "Next time, try to ensure the safety of your wingmen.  If he requests help, engage the ship that's attacking him."

932, "You left the field of battle before your watch was ended.  This act of cowardice will stain your record for the rest of your military career.

You are suspended from flight duty.  Dismissed."

933, "Never leave a battle until you are sure the battle is over.  Wait until all Primary mission goals are resolved, or you are ordered to return to base."

934, "Repair crew"

935, "Destroy Virgo"

936, "Destroy Cancer"

937, "Destroy Aries"

938, "Destroy Pisces"

939, "Protect the GTC Orff"

940, "Assist Delta with their Watch"

941, "Hey there, Alpha 1.  I hear you're new to the Galatea."

942, "Just follow my lead... you'll be fine."

943, "Turn on your Autotargeting."

944, "We've got company!  Break and attack!"

945, "The first one's hull is down to 40%.  Looks like they've already seen some action.  Let's finish them off."

946, "Make sure they don't reach the Orff, pilot!"

947, "This looks like more than a scouting wave."

948, "My hull can't take much more!  Help me out!"

949, "I don't think I'm gonna make it..."

950, "Sensors are picking up Vasudan ships 1.4 kilometers from our position.  Alpha wing, provide cover."

951, "We're already on it."

952, "We better get relieved soon.  I can't take much more."

953, "I really wasn't expecting this much action."

954, "My sensors are out, Alpha 1.  Aiming manually."

955, "Goddamnit!  I'm losing navigation!  I need you to cover me, Alpha 1!"

956, "Alpha - the area appears to be secure.  You may return to base. [Press $Alt-J$]"

957, "Another wing of hostiles just arrived!"

958, "We're taking hits.  Please provide cover."

959, "Get over here and cover us, Alpha!"

960, "Oh my God.  The Orff is down!  Return to the Galatea now, Alpha."

961, "Don't forget to use your heat seekers.  They have a range of 1500 meters."

962, "We've lost Alpha 2!"

963, "Aries is led by a Seth class fighter.  Watch out for him."

964, "Pisces wing is Horus Interceptors.  Use your MX-50s on them."

965, "Looks like this sector is clear.  Return to base."

966, "If you are going to stay on watch, you ought to rearm. [Press $Shift-R$]"

967, "Command said you needed some help."

968, "Moving into position now."

969, "Moving in to dock."

970, "Delta jumping out."

971, "Entering subspace now."

972, "Jumping out, sir."

973, "We've docked.  Give us some time to brace the attachment."

974, "The engine subsystems are back up and running."

975, "All systems go, sir."

976, "Operation ETC ninety seconds."

977, "Return to base."

978, "All objectives accomplished.  Return to base."

979, "Area is secured.  Return to base."

980, "The area is secure.  Report back to base."

981, "You've done all you can.  Return to the Galatea."

982, "Primary objective complete.  Secondary objective complete.  Return to base."

983, "What in the hell?!  Have you lost your mind?  Return to the Galatea now, Alpha!"

984, "Vasudan fighter wing Aries is destroyed."

985, "Enemy fighter wing down."

986, "Enemy wing destroyed."

; freespace.fc2

987, "A fourteen year war between the Terrans and Vasudans leads into something far more sinister.  This is the story of the Great War."

; FreeSpace2.fc2

988, "The main FreeSpace 2 campaign is unavailable.  Please deactivate the FreeSpace Port mod to play it."

989, "Special Operations Command has selected you for a dangerous covert assignment. Will you accept?"

990, "Special Operations Command requests your participation in a high-risk rescue mission. Will you volunteer?"

; FS1Templar-01.fs2

991, "Bringing The Hammer Down"

992, "Part 1 of the Templar Campaign.  An assault on a Hammer of Light Destroyer."

993, "$b * $b GTD $b Nereid
$b * $b Vasuda $b System
$b * $b 03/17/45

$b Operation $b Templar

Congratulations, pilot.  Because of your excellent service record, you have been chosen to participate in Operation Templar.  This is a joint Terran-Vasudan endeavor intended to eradicate the last remnants of the Vasudan fanatics who call themselves the Hammer of Light."

994, "$b New $b Technologies

Since losing contact with Earth, availability of the Avenger and Prometheus cannons has been extremely limited.  A Terran-Vasudan research group has developed a retrofit of the Prometheus using synthetic gases, sacrificing damage output.

The Prometheus R is being issued to all Alliance pilots as standard-issue weaponry."

995, "$b New $b Technologies

You are also issued the Akheton Subsystem Disruptor Gun.  It is highly effective against shielding and subsystems.

The Akheton is designed to function with Vasudan power grids.  You may need to allocate more energy to your weapons systems to fight effectively."

996, "$b New $b Technologies

Finally, the Serkr anti-capital ship torpedo has been put into mass production.  Developed by the GTI during the Hades Rebellion, the highly modular design is the most powerful warhead in our arsenal.

Older weapons reserves are limited, so choose your loadouts carefully."

997, "At 2130 hours, $h Hammer $h of $h Light operatives infiltrated Vasudan ranks in an attempt to hijack the $f GVD $f Anhur, a Typhon-class destroyer in the Vasuda system.  Security forces are now battling the rebels for control of the ship.  Your mission is to provide cover for the marine transports that will dock with the $f Anhur and insert reinforcements."

998, "Supreme Admiral Khu and other high-ranking officers of the Admiralty were on board the $f Anhur for a demonstration of the Scarab stealth technology prototypes.  Should the rebels attempt to seize the prototypes or take the Admiralty hostage, we will need to act decisively."

999, "This is a terrible loss.  Your incompetence has resulted in the Hammer of Light escaping with the Anhur, high-level Vasudan hostages, and the stealth technology prototypes.  We are sending in another team to track them down.  You are dismissed."

1000, "Disable the Anhur before it can depart.  Delta wing's bombers can help."

1001, "Great work, pilot!  The remnants of the Hammer of Light forces are on the run.  We are currently pursuing them into the Alpha Centauri system."

1002, "You prevented the Hammer of Light from escaping with the captured destroyer.  They will be that much weaker when we meet them again.  But that provides little comfort to those lost on the Anhur.  We must somehow eliminate this scourge once and for all!"

1003, "You did not have orders to return to base.  By deserting your unit, you have jeopardized this mission.  Consider yourself grounded until you can be court-martialed, pilot."

1004, "Don't leave until you are ordered to."

1005, "Hostages"

1006, "Stealth Prototypes"

1007, "Supreme Admiral Khu"

; mdu-03.fs2

1008, "Return To Base"

; FS1Templar-01.fs2

1009, "Destroy Anhur"

1010, "Destroy Gemini"

; sm1-01a.fs2

1011, "Destroy Leo"

; FS1Templar-01.fs2

1012, "Destroy Sentry Guns"

1013, "Destroy the Anhur"

1014, "Protect the Imhotep"

1015, "Prevent the Anhur's Capture by the HOL"

1016, "The Anhur is engaging its fusion drive, heading to the Alpha Centauri jump node.  Do not let it escape!"

1017, "An Isis transport and Taurus freighters have entered the Alpha Centauri jump node.  There go the prototypes and Vasudan VIPs!"

1018, "This mission is over.  Return to base."

1019, "The Anhur has escaped to Alpha Centauri.  Return to base."

1020, "This is Lieutenant Osun of the Anhur.  The rebels have engineering and bridge.  They also have the hostages and prototypes on transports to Alpha Centauri."

1021, "Imhotep here.  We are taking severe damage.  Request immediate support."

1022, "Confirmed.  Hostages and prototypes are on board the transports and out of intercept range.  Advising Alpha Centauri.  Alpha and Beta wings, you are now to engage and destroy the Anhur."

1023, "Delta wing is standing by.  Call in the bombers at your discretion, Alpha."

1024, "The Anhur has been destroyed."

; FS1Templar-02.fs2

1025, "Chasing the Threat"

1026, "Part 2 of the Templar Campaign.  Pursuing Hammer of Light transports containing hostages."

1027, "We arrived too late in Vasuda to prevent the $h HoL transport and freighters from escaping.  We are now pursuing them to Alpha Centauri.  The rebels demand the release of all $h HoL leaders in government custody in exchange for the safe return of the hostages.  The Vasudans have agreed to negotiate to give us time to attempt a rescue."

1028, "Vasudan intelligence believes the $h Hammer $h of $h Light has isolated Supreme Admiral Khu and is holding him on board the $h Isis transport.  The other hostages were transferred to two $h Taurus freighters.  The third $h Taurus contains the stealth technology prototypes."

1029, "Your mission is to scan all three freighters and destroy the vessel containing the prototypes.  Once you have completed this objective, stand by for further orders.  Under no circumstances should you fire on the ships carrying hostages."

1030, "The Taurus freighters are taking the hostages to Aldebaran, while Admiral Khu is being taken to Sirius.  Your orders are to follow the freighters.  Other assets will try to track Admiral Khu."

1031, "The Taurus freighters are taking the hostages to Aldebaran, while Admiral Khu is being taken to Sirius.  Your orders are to track Admiral Khu.  Other assets will try to follow the freighters."

1032, "You disobeyed a direct order, pilot.  Your reckless and criminal behavior has endangered the lives of our allies, jeopardizing future cooperation between Terrans and Vasudans.  You are confined to the brig pending a court-martial."

1033, "Only destroy the freighter carrying the prototypes, and only when you have identified which freighters carry the hostages."

1034, "Prototypes"

1035, "Spare Parts"

1036, "Scan Taurus"

1037, "Press $U$"

1038, "Destroy Hathor"

1039, "Scan Taurus Freighters"

1040, "Prevent the HoL transport and freighters from escaping"

1041, "Destroy Hammer of Light vessels"

1042, "We're pulling out, pilots.  Provide cover for the PVC Wosyet."

1043, "Isis transport has jumped to Sirius."

1044, "Taurus wing has entered the Aldebaran jump node.  Hostages have cleared the system.  Engage and destroy all Hammer of Light vessels."

1045, "Sensors indicate HOL cruiser and three new freighters en route to Aldebaran jump node.  Destroy them, Alpha."

1046, "Hammer of Light cruiser Hathor destroyed."

1047, "Isis transport has been eliminated."

1048, "Hammer of Light confirmed in Aldebaran and Sirius.  Proceed to the nearest jump node and rendezvous with our forces in that system."

1049, "Destroy Taurus 3.  The stealth prototypes are on board."

1050, "Cease fire, Terrans.  We will kill the hostages if you do not withdraw."

1051, "Do NOT fire on the freighters.  Proceed to scan Taurus wing and locate the hostages."

1052, "All pilots, hold your fire.  Stay clear of Taurus 1 and 2.  Do not engage those freighters."

1053, "Wosyet here.  Sustaining heavy damage.  Request cover."

1054, "Cease fire immediately, pilot."

1055, "Do not engage the Hammer of Light vessels.  Repeat.  Do not engage."

1056, "You have your orders, pilot.  Stand down."

1057, "Your actions are endangering the hostages!"

1058, "You're jeopardizing this mission!  Return to base!"

; FS1Templar-03.fs2

1059, "Tightening the Noose"

1060, "Part 3 of the Templar Campaign.  Rescue Vasudan hostages and neutralize final Hammer of Light destroyer."

1061, "The $h Hammer $h of $h Light freighters carrying the Vasudan hostages seem to be headed for a rendezvous with the $h Tanis, an $h HoL destroyer.  The $h Tanis and the freighters are now in the Aldebaran system.  Command anticipates the rebels will try to transfer the hostages to the destroyer."

1062, "Your main task is to keep those freighters from docking with the $h Tanis.  We need to get the hostages back and we won't be able to if they get them onto that destroyer.  If you can prevent that rendezvous, we'll send in marines in troop transports to capture the freighters and rescue the hostages."

1063, "Do whatever is necessary to ensure the hostages' safety.  We don't know what other forces the $h HoL has in-system, but you must handle them.  Once the hostages are out of danger, wipe out the remaining $h HoL vessels."

1064, "We have been advised that our forces in the Sirius system are preparing to engage the last known $h Hammer $h of $h Light outpost.  A decisive victory in both systems will mean the complete annihilation of the $h Hammer $h of $h Light.  This is a historic moment, pilot.  Command is confident you are up to the challenge."

1065, "Because of your outstanding performance, the hostages were successfully recovered.  Operation Templar was a total success.  All loyal citizens of the GTVA are celebrating the eradication of the Hammer of Light.  Excellent work, pilots!"

1066, "Against difficult odds, GTVA marines boarded the HoL freighters and recovered the Vasudan hostages.  This rescue effort would not have succeeded without your efforts.  Well done, pilots."

1067, "The GTVA has issued a formal apology for our failure to rescue the hostages.  The Vasudans have little choice but to comply with the rebels' demands and release Hammer of Light prisoners in exchange for the officers.  Operation Templar was a total failure."

1068, "Disable the freighters with Akhetons or Stilettos.  If your wingmen can't seem to help, order them to cover you."

1069, "We botched the rescue mission, and the hostages paid with their lives.  The Vasudans have terminated Operation Templar and will deal with the Hammer of Light on their own.  There's a garbage scow with your name on it.  Dismissed."

1070, "Use Akhetons or Stilettos to disable the freighters without destroying them.  Keep a close eye on Zeta wing, and use your wingmen to draw fire from fighters and turrets."

1071, "Weapons"

1072, "Destroy Tanis"

1073, "Protect Zeta 1"

1074, "Protect Zeta 2"

1075, "Protect Zeta 3"

1076, "Disable Taurus 1"

1077, "Disable Taurus 2"

1078, "Destroy Cambyses"

1079, "Destroy Taurus 3"

1080, "Destroy Akhenaton"

1081, "Rescue Hostages"

1082, "Destroy All Enemy Forces"

1083, "The hostages are safe and sound!"

1084, "Zeta 3 here.  Taurus 2 is blocking access to the Tanis.  Request assistance."

1085, "We lost the hostages!  Fire at will, pilots.  Execute a clean sweep."

1086, "Mission over, pilots.  Return to base."

1087, "There were hostages on Taurus 1, pilot.  You are hereby relieved of duty.  Return to base immediately!"

1088, "You killed the hostages, pilot.  Return to base immediately!"

1089, "You violated a direct order, pilot.  The hostages were aboard the Tanis.  Return to base immediately!"

1090, "Primary objective failed.  Hostages down.  Execute a clean sweep, pilots.  Fire at will."

1091, "This is Vasudan Admiral Iman.  I have been instructed to inform you that a hostage will be executed every five Terran minutes if your forces do not withdraw."

1092, "Pilots, return to base."

1093, "Deploying Zeta 1."

1094, "Deploying Zeta 2."

1095, "Surviving hostages are now clear.  Fighters, sweep the area clean.  Fire at will."

1096, "Zeta 1 is now clear.  We lost Zeta 2.  Pilots, fire at will."

1097, "Hostages now aboard the Tanis.  Deploying Zeta 3."

1098, "Zeta 1 and Zeta 2 have cleared the system."

1099, "Acknowledged, Zeta 3.  Pilots, clear that docking point!  Destroy Taurus 2.  Repeat.  Destroy Taurus 2."

1100, "Zeta 2 is now clear.  We lost Zeta 1.  Pilots, fire at will."

1101, "Sweep the area clean, pilots.  Fire at will."

1102, "You must stop the freighters from docking with the Tanis, pilots.  Take out their engines, but do it without killing the hostages!"

1103, "Zeta 1 here.  Hostages being transferred."

1104, "Zeta 2 here.  Hostages being transferred."

1105, "Make sure those hostages survive to jump out, pilots!"

; FS1Templar-04.fs2

1106, "Final Outpost"

1107, "Conclusion to the Templar Campaign.  Rescue a Vasudan VIP and destroy the last Hammer of Light stronghold."

1108, "Welcome to Sirius, pilots.  Vasudan forces have tracked the $h Isis transport to the remote $h Nagada outpost here.  This installation was de-commissioned after the Great War, but the $h Hammer $h of $h Light has brought the facility back on-line.  Intelligence suspects they have been operating in this sector for only a short time."

1109, "The Vasudans are deploying a hostage rescue team to invade the $h Nagada outpost, neutralize the rebels, and extract Supreme Admiral Khu.  Your mission is to provide cover for the rescue team's transports.  Success in this endeavor is of the utmost importance."

1110, "With our victory in Aldebaran, this is the last remaining stronghold of the $h Hammer $h of $h Light.  A decisive victory here will mean the complete annihilation of the $h HoL.  We believe you are the team to accomplish this historic task.  Good luck, pilots!"

1111, "We rescued Supreme Admiral Khu and destroyed outpost Nagada, the last refuge of the Hammer of Light.  The GTVA has declared Operation Templar a complete success.  Excellent work, pilots!"

1112, "Allied Command has formally apologized to the Vasudan Emperor for our failure to rescue Supreme Admiral Khu.  The Vasudans are left with little choice but to comply with the rebels' demands and release Hammer of Light prisoners in exchange for the admiral.  Operation Templar has failed."

1113, "Clear out the outpost's defenses around the docking port before calling in the rescue team."

1114, "Though the Hammer of Light's outpost was destroyed, we lost Supreme Admiral Khu.  The GTVA has issued a formal apology for this failure.  Future cooperative efforts with our Vasudan allies have been jeopardized."

1115, "Guard the transport with the Admiral, and don't destroy the station until he is safe."

1116, "After two attempts, we managed to rescue Supreme Admiral Khu.  Unfortunately, outpost Nagada remains operational.  We are deploying a strike force to eliminate the hostiles you failed to neutralize."

1117, "Protect your bombers."

1118, "Operation Templar has been declared a total failure.  The Hammer of Light's outpost remains operational, and Supreme Admiral Khu was killed during the rescue attempt.  The Vasudans have decided to resolve the situation without Terran involvement.  You are grounded pending reassignment."

1119, "Don't summon the Impunity until you've cleared a path to the station.  Then, guard the transport with the Admiral."

1120, "Protect Keb"

1121, "Protect Liberty"

1122, "Destroy Capricorn"

1123, "Protect the Isis Transport"

1124, "Protect the Elysium transport."

1125, "Rescue Admiral Khu."

1126, "Destroy Hammer of Light Outpost."

1127, "Stop Hammer of Light From Escaping"

1128, "Brothers, rejoice!  I bury a blade in the heart of our enemy!"

1129, "GTT Liberty is standing by."

1130, "GVT Keb here.  Docking point cleared.  Admiral Khu is aboard."

1131, "GTT Liberty.  Docking point cleared.  Admiral Khu on board."

1132, "Admiral Khu is dead!  Pilots, destroy all Hammer of Light vessels!"

1133, "Rescue failed.  Abort mission and return to base."

1134, "Eliminate all hostiles remaining.  Secure the area and return to base."

1135, "Stand clear of outpost Nagada!  Sensors reading a massive energy surge!"

1136, "Admiral Khu is safe and sound.  Sweep this sector clear of HoL ships."

1137, "Admiral Khu is on outpost Nagada.  Deploying transports now.  Pilots, clear a path for the transports.  GTC Impunity standing by."

1138, "Hammer of Light transports escaping outpost Nagada.  Intercept and destroy."

1139, "GTC Impunity still standing by.  Call it in when you're ready."

1140, "This is the GVT Keb. We are now in position. Commencing docking sequence."

; FS1Templar.fc2

1141, "Operation Templar, a Galactic Terran-Vasudan Alliance endeavor, hunts down the last remnants of the Hammer of Light.  The rebels stage a desperate last stand, hijacking a Vasudan destroyer and taking hostages."

; m-altair.fc2

1142, "Important records have been unearthed on Altair IV.  However, getting there and back might be far more difficult than anyone ever imagined."

; M-ConvoyAssault.fs2

1143, "Convoy Assault"

1144, "The players must lead a Terran assault on a Vasudan convoy.  Multiplayer mission.  Max respawns 10.  Recommended respawns 4."

1145, "A Hammer of Light convoy is heading towards the Beta Aquilae jump node.  We must cut off all points of travel for the Hammer of Light.  Destroy the convoy."

1146, "Great job, you were able to destroy the entire convoy.  This is a major victory for our forces."

1147, "While you were unsuccessful in destroying the entire convoy, you did manage to get a good number of them.  That should cripple Vasudan forces for a short while."

1148, "Your failure to destroy the convoy has us all worried.  There is a good chance that the Vasudans will have enough supplies to prolong this battle for another few months."

1149, "Destroy the Convoy"

; m-duel.fs2

1150, "Leviathan Duel"

1151, "Two cruisers engage each other, with only their fighter complements to assist them.  Multiplayer mission.  Max respawns 5.  Recommended respawns 3."

1152, "Your orders are to defend the $f Arcticon from the attacking force of the $h Zaldhun.  Destroy $h Zeta wing and protect the Arcticon.  Your secondary objective is to destroy the Zaldhun.
$f Omicron will assist you be guarding the Arcticon."

1153, "If things get out of hand, and the Arcticon is in danger, she will attempt to retreat.  Do not allow the Arcticon to be destroyed."

1154, "Your orders are to defend the $f Zaldhun from the attacking force of the $h Arcticon.  Destroy $h Alpha wing and protect the Zaldhun.  Your secondary objective is to destroy the Arcticon.
$f Omicron will assist you be guarding the Zaldhun."

1155, "If things get out of hand, and the Zaldhun is in danger, she will attempt to retreat.  Do not allow the Zaldhun to be destroyed."

1156, "Good job.  We were able to gain a foothold on this sector by your outstanding performance.  The Zaldhun and her forces have been defeated.  This is a major victory for our cause."

1157, "We were unable to gain a foothold on this sector of space.  You failed to defeat the enemy, and this will cost us dearly in the long run.  The forces of the Zaldhun have won this battle."

1158, "You should choose either an offensive or defensive strategy.  Make sure you load out your ships correctly, and always watch enemy bombers: they can make short work of your cruiser."

1159, "That you were able to destroy the Zaldhun instead of just injuring her is even more outstanding.  You are to be commended for your attention to detail."

1160, "That the Arcticon was actually destroyed makes this loss even worse.  There is almost no way that we can recapture this sector without her."

1161, "When your cruiser goes below 10% hull, it will attempt to warp out.  It would be a good idea to make sure it doesn't get hit for the next 30 seconds or so, and your cruiser will be able to survive."

1162, "This battle was indecisive.  Neither us nor the Zaldhun were able to gain any kind of advantage.  We must double our efforts."

1163, "Don't let them take out your cruiser while you attack theirs.  You must find a balance between offense and defense."

1164, "Good job.  We were able to gain a foothold on this sector by your outstanding performance.  The Arcticon and her forces have been defeated.  This is a major victory for our forces."

1165, "We were unable to gain a foothold on this sector of space.  You failed to defeat the enemy, and this will cost us dearly in the long run.  The forces of the Arcticon have won this battle."

1166, "That you were able to destroy the Arcticon instead of just injuring her is even more outstanding.  You are to be commended for your attention to detail."

1167, "That the Zaldhun was actually destroyed makes this loss even worse.  There is almost no way that we can recapture this sector without her."

1168, "This battle was indecisive.  Neither us nor the Arcticon were able to gain any kind of advantage.  We must double our efforts."

1169, "Protect the Arcticon from Enemy Forces"

1170, "Protect the Zaldhun from Enemy Forces"

1171, "Destroy the Zaldhun"

1172, "Destroy the Arcticon"

1173, "We're taking lots of damage.  Powering up our subspace drives."

1174, "We're taking lots of damage.  Jump drives powering up."

1175, "The Hulk has been destroyed"

1176, "The Thing has been destroyed."

; M-Gate.fs2

1177, "Closing the Gate"

1178, "Terran assualt on a Vasudan capital ship.  Multiplayer mission.  Max respawns 10.  Recommended respawns 5."

1179, "The Gate has positioned itself right outside of the Deneb subspace node.  This is not acceptable."

1180, "The Tornado will accompany you on this assault.  Assemble your squadron."

