#Default

; cutscenes.tbl

The GTA issues ML-16 Lasers to every fighter and bomber in service."

508, "PVW VLL-9 Laser"

509, "Neon laser weapon - uses silvered optics to create a coherent package of energy that is extremely reliable under battle conditions - energy package infuses plasma bolt which is fired at a rate of 2 rounds/second - high thermal mass vaporizes most materials upon impact - prolonged application will cause material integrity failure and hull breach.

Standard issue to Vasudan ensigns.  This cheap, mass-produced laser cannon is similar in performance to the ML-16 but is slightly more effective against insulated subsystems."

510, "GTW-41 Disruptor Cannon"

511, "Standard issue
Tactical Weapon
Damages Subsystems"

512, "A gas-focused krypton laser - when the ship is in flight, the chamber of the GTW-41 rotates at a constant speed - a small amount of NO2 is injected into the container .05 ms prior to the emission of the laser light - the rotation of the NO2 in the chamber focuses the laser pulse to a state that is only very slightly (1%) diffused - after the laser pulse is emitted from the chamber into space, the chamber expels the NO2 into space (thus expelling ionized molecules and moisture) - the process repeats for each subsequent burst of laser energy - as this laser is very slightly diffused, it is not effective as a destructive weapon, but as a tactical weapon - the Disruptor Cannon is best suited and is used for the permanent disabling of enemy ship subsystems.

The Disruptor Cannon should be utilized in all capture operations in order to minimize risk of target's destruction."

513, "GTW-41x Advanced Disruptor"

514, "Advanced Version
Tactical Weapon
Damages Subsystems"

515, "The Advanced Disruptor Cannon is much like the GTW-41 Disruptor.  However, its speed and higher subsystems damage make it much more useful in operations against faster moving targets."

516, "GVW Akheton SDG"

517, "Tactical Weapon
Subsystem Disruption"

518, "A gas-focused krypton laser - fixed position firing chamber with quartz-timed injector - dynamic magnetization of the diffused laser pulse responds to feedback from targeting sensors - enhanced gaseous acceleration technology results in higher projectile velocity - as this laser is very slightly diffused, it is not effective as a destructive weapon, but as a tactical weapon - best suited and used for the permanent disabling of enemy ship subsystems.

The Akheton Subsystem Disruptor Gun is a Vasudan retrofit of the GTW-41x Advanced Disruptor cannon.  Alongside the Prometheus Retrofit it is being pushed into mass production as part of a new generation of standard-issue weaponry, replacing the ML-16s and Disruptor Cannons used since the war between our species ten years ago.  While optimized for next-generation warships currently in development, older fighters may be unable to keep up with its demanding power requirements."

519, "GTW-15 Avenger Cannon"

520, "Special Issue
Projectile Weapon
Low Shield Damage"

521, "A rapid-fire, computer-controlled radar and gun system - capable of firing at a rate of more than 4500 rounds per minute - used primarily for close-defense situations - uses closed-loop radar technology to locate, identify, and direct a stream of highly destructive 45mm projectiles to the target.

With the advent of shield technology, the Avenger is preferred over the ML-16 in any ship that can carry it.  Its extra damage against hulls make it one of the best anti cruiser weapons.  It has also proven very effective against Vasudan fighters.  However, its substandard anti-shield capabilities make it a poor choice for dogfighting Shivans, although far better than the ML-16."

522, "GTW-32 Flail Rifle"

523, "Special Issue
Low Energy Usage
Kinetic Weapon
Moderate Shield Damage"

524, "A rapid-fire, low energy, ceramic optic focused, krypton laser - used in tactical situations to distract or lead an enemy to their destruction at the hands of other allied fighters - this weapon, if used over an extended period of in-flight battle, can destroy an enemy fighter, but, as a destructive weapon, should only be used as a last resort.

The fast firing rate and high mass of the Flail make it great for changing the velocity vector of an enemy fighter or bomber.  It is slightly more effective than the Avenger against shields, rated at damage/second.  Its low energy consumption rate makes it useful for prolonged engagements.  Note, however, that once you have taken out an enemy's shields, switching to another weapon is advised."

525, "GTW-5 Prometheus Cannon"

526, "Prototype
High Energy Usage
High Hull Damage
Moderate Shield Damage"

527, "Named after the Titan who gave fire to humanity, the Prometheus is a laser-based weapon - an advanced radar and X-ray tracking system lock on the target and determine the target's material structure - argon laser focused via transparent ceramic optics - the laser is generated at the destructive frequency (full out-of-phase) for the target's material structure - emitted no more than .02 ms after targeting and activation by the pilot, the Prometheus stands as one of the GTA's most effective deterrents to enemy attack, an effective form of defense for GTA pilots, and as a durable, portable, and highly destructive offensive tool.

The Prometheus works best against target hulls.  Against shields, it only achieves mediocre performance.  Its slow speed and high energy consumption work against it as well.  However, the primary advantage of the Prometheus is that it can be equipped on almost any fighter in the GTA."

528, "GTW-5a Prometheus Cannon Adv."

529, "GTW-5a Prometheus Advanced"

530, "Designed as a special-issue upgrade to the standard Prometheus, the Prometheus A retains the compatibility of the original while delivering a higher rate of damage at a greater projectile velocity.  These advances come at the cost of a slight increase in energy consumption, but many pilots feel that the tradeoff yields a net benefit.  This weapon's deployment is currently restricted to GTI pilots on specially authorized missions."

531, "GTW-5r Prometheus (retrofit) Cannon"

532, "Standard Issue
High Energy Usage
Moderate Hull Damage
Low Shield Damage"

533, "GTW-5r Prometheus Retrofit"

534, "The GTW-5a Prometheus R is a modified version of the original Prometheus weapon.  With the link to Earth severed, the GTVA had been unable to obtain sufficient quantities of argon (a required element in the Prometheus's power-generation module) to continue to manufacture the standard Prometheus.  GTVA engineers modified the original design to incorporate some of the advanced electromagnetic mechanisms of the Banshee.  The technology has not been perfected, however, and the Prometheus R suffers from a long recharge cycle and high energy requirements."

535, "GTW-7 Banshee"

536, "Special Issue
EM Weapon
Very High Energy Usage
Extreme Shield Damage"

537, "An electromagnetic weapon - sends rapid pulses of exceptionally strong electromagnetic energy resulting in a 1.63 x 10^5 J blast that forces its way through any known shield technology and produces a dramatic shearing effect which quickly destroys the target ship's materials - named for the fact that in an atmosphere, the pulse creates an atmospheric disturbance similar to a quasi-human scream at 180 dB - uses up a tremendous amount of available ship energy - already, it is has been used by many GTA fighter aces and test pilots as a coup de grace, although such a use for this massively powerful offensive weapon is officially viewed as poor sportsmanship by the GTA.

The Banshee's impressive anti-shielding capabilities make it the weapon of choice against the Shivans.  The main limitation of this weapon is low weapons compatibility."

538, "GTW-65 Railgun"

539, "Prototype
HiVel Weapon
Long Recharge Cycle"

540, "A GTI prototype cannon, the Railgun was originally developed as an attempt to penetrate the shields of the Lucifer superdestroyer.  The weapon uses a series of electromagnets firing with millisecond precision to accelerate caseless uranium slugs at extreme velocity.  While its range, accuracy, and impact force are the highest in the Terran arsenal, shield damage is low and the weapon suffers from an extended recharge cycle.  Although the Railgun is technically a ballistic weapon, the slugs are extremely small, and for tactical purposes the quantity of ammunition is practically unlimited."

541, "GTW-99 Shield Breaker"

542, "Prototype
Depletes shields"

543, "Developed as an anti-Shivan weapon, the Shield Breaker inflicts massive damage to enemy defensive systems.  This weapon causes no structural damage, but coupling it with an anti-hull cannon is very effective against larger Shivan bombers such as the Seraphim."

544, "GTW-43 Leech Cannon"

545, "Tactical Weapon
Drains Energy
Low Damage"

546, "The Leech Cannon depletes the power supply of enemy fighters.  Use it to disable afterburners, energy weapons, and shields.  No subsystems targeting is required, just point and shoot.

The Leech Cannon is an anti-fighter weapon with minimal effect against larger vessels."

547, "GTW UD-1 Volz"

548, "Prototype
Shivan weapon derivative
Moderate Hull Damage
Moderate Shield Damage"

549, "UD-1 Volz"

550, "Unstable Derivative Mark One - Xaser weapon, firing an intense, highly focused beam of x-ray emissions - modified power conversion unit interfaces directly with Shivan electronics - extremely limited availability during testing phase.

The UD-1 Volz is a weapon prototype retrofitted from Shivan armaments captured by the GTI.  R&D has modified an undisclosed number of fighters to mount the cannon, and preliminary tests have shown it to be effective against shields and hulls of all varieties."

551, "GTM MX-50"

552, "Standard Issue
Fire and Forget"

553, "Suitable for all space battles - defensive and offensive - medium payload (16.5 Kt) - infrared tracking and semi-intelligent targeting - pilot chooses desired target, and the MX-50 tracks the chosen target based off the emission of heat from the - engine, the weapon bays, and the cockpit of the target ship - the MX-50 will always attack a target that is determined to be hostile by the onboard computer of any GTA combat vessel, thus ensuring a higher kill rate, should the pilot find himself in a heated battle situation where precise aiming might be difficult.

Early experiments with energy based defenses like the deflector array at Ross 128 have shown that this weapon is exceedingly weak against anything besides steel-based targets."

554, "GTM-3 Fury Missile"

555, "Standard Issue
Maximum Compatibility"

556, "Small, fast dumbfire missiles - fired in swarms - GTA fighters can carry more Fury missiles than conventional missiles, due to their small size - used for distraction and other tactical measures - very small payload (3 Kt).

Use is recommended in close combat situations and against larger targets where tracking is a non-issue."

557, "PVM-7 Fang Missile"

558, "Standard Issue
Twin Fire
Maximum Compatibility"

559, "Small, fast dumbfire missiles - fired in swarms - low accuracy offset by high speed and immunity to electronic countermeasures - very small payload (2 Kt). 

A Vasudan missile design employing a 'twin fire' technique.  It is a good choice for close combat and freighter attacks, where tracking is a non-issue. The twin-fire design increases the payload per volley and damage potential for hit-and-run attacks.  The GTA is developing its own swarm missile based on the Fang."

560, "GTM-9 Interceptor"

561, "Standard Issue
Fast Target Lock"

562, "All-aspect seeking - laser tracking senses energy reflected off a target from the primary weapon systems of the target, increasing single-pass kill probability - medium payload (18.5 Kt) - missile is designed to pierce reinforced hull, thus securing itself to the target, prior to detonating (15 ms delay).

This is the standard issue fighter killer in the GTA.  Designed to take out fighters with minimum hassle, a simple lock is all that is needed to grab the enemy's attention.  Short lock time, good speed, and decent payload makes this the best missile to use against all but the strongest ships.  Its effectiveness against large targets, however, is less than a typical laser run, making this primarily a ship-to-ship missile."

563, "GTM-4 Hornet Swarm Missile"

564, "Special Issue
Swarm Type
Slow Target Lock"

565, "Infrared and ultraviolet tracking - designed to fire in small groups of 4 missiles per burst - light medium payload per missile (12 Kt) - semi-intelligent on-board tracking - single-pass kill probability will not exceed 60% on average - designed as an offensive version of the Fury.

As a ''swarm'' based weapon, this missile can take out an unshielded fighter without any difficulty.  Its four missile system almost guarantees one or two hits, and its speed is quite amazing.  Twice as powerful against naked hulls."

566, "GTM Phoenix V"

567, "Special Issue
Anti-Bomber Missile
Slow Target Lock"

568, "All-aspect seeking - same tracking system as the Interceptor - large payload (50 Kt), but slower than the Interceptor - one of the best fire-and-forget missiles ever developed - many fighter pilots within the GTA regard the Phoenix V as the weapon of choice against high value, heavily defended targets.

The number one bomber killer in our arsenal, this is the single most damaging missile that can be equipped on a fighter craft.  The longer lock time and slower speed make it less of a dogfight weapon and more of an anti-bomber warhead.  Its extra damage against shields makes it especially useful against the Shivan bombers."

569, "GTM-31 Disruptor Missile"

570, "Advanced Prototype
Tactical Missile
Disrupts Subsystems"

571, "Advanced signal processing - high precision interception capability - small payload (9 Kt), combining both conventional explosives and a localized blast of energy caused by the effect of impact upon the laser-propulsion system of the missile - designed to temporarily disable subsystems on hostile targets.

The D-Missile is designed to temporarily stop a cruiser or destroyer from firing its laser turrets.  The effect will last about 10 seconds per missile fired, so using these to temporarily disable a cruiser should usually be for suppression until the cruiser is destroyed, or whatever was trying to evade the cruiser has gotten out of range.  Only a few ships can carry these - and they are very scarce - so proper utilization is important."

572, "PVM-2 Havoc Missile"

573, "Special Issue
Fragmentation warhead"

574, "Havoc missiles were special issue during the 14-Year War to Vasudan aces.  It holds the title of being the first missile to use the remote detonation technique later used in the Cluster Bomb.  Chips and shards of non-explosive shrapnel surround the explosive core, stripping shields and armor from its target.  Subsystem damage is minimal due to its superficial damage.  With the development of shield technology, the Havoc is now used against unshielded cargo formations and such."

575, "GTM-1 Synaptic Bomb"

576, "Advanced Bomb
Wing Attack Cluster Explosion
Area Effect"

577, "Missile propulsion unit carrying several small intelligent ''bomblets'' - when distance to target is less than 100 m or when time to impact is less than 2 sec., bomblets direct missile to the most vulnerable part of the ship of those parts of the ship facing the missile - bomblets then separate from missile propulsion unit and form a sphere - inertia continues to carry bomblets in the direction of the target - the missile propulsion unit continues to advance toward the target - when the missile hits the target or 1.5 sec.  after the missile should have hit the target, the bomblets explode - the spherical shape of the formation of the bomblets helps to ensure a fairly even level of damage across a sensitive area on the target - the spherical shape also ensures that the target will not be able to effectively maneuver away from the blast, thus ''pinning'' the target to a specific area in space - can also act as dumbfire - medium payload per bomblet (15 Kt) - very small payload for missile (2 Kt).

Nicknamed the ''Earthshaker'' by the bomber pilots who tested this, it is a bomber's best defense against fighters.  The Synaptic Bomb can do a lot of damage to a lot of ships at one time."

578, "GTM-86 Cluster Bomb"

579, "Standard Issue
Tactical Missile"

580, "A second-generation Synaptic bomb, this GTI-developed cluster warhead has been designed for attacks against entire wings of enemy ships.

Upon reaching its target, the primary warhead fragments into multiple secondary warheads that explode within a split second.  The detonations produce a large field of blast field, making the cluster bomb most effective against fighter formations."

581, "GTM-43 Stiletto"

582, "Standard Issue
Tactical Missile
Destroys Subsystems"

583, "Heat seeking - laser tracking similar to the Interceptor - missile is protected by a small shield system, allowing for greater success in payload delivery during busy melee situations and intense firefights - fast, but low in-flight maneuverability compared to other missiles of comparable size - low maneuverability due to the size of the missile's payload (60 Kt) and on-board shield system.

With the ability to take out most subsystems in one hit, and as simple to fire as an MX-50, the Stiletto is the best ship disabling bomb developed by the GTA.  Effective against turrets, engines and any other kind of subsystem, the Stiletto is a valuable asset to a bombers arsenal.  However, it's slow, unmanageable, and it can't do any real hull damage."

584, "GTM-11 EM Pulse"

585, "Advanced Missile
Electromagnetic Pulse weapon
Anti-bomber weapon"

586, "Upon impact, the EM Pulse temporarily disables the electronics systems of the target ship.  This renders the target ship unable to track targets, manage communications, or gain aspect missile lock.  This has numerous tactical applications.  For example, a direct hit with an EM Pulse missile will prevent bombers from launching aspect-seeking warheads for several seconds.  Once the EMP field has worn off, they must also take the time to reacquire missile lock, granting you valuable time."

587, "PVM-1 Barracuda Torpedo"

588, "Standard Issue
Anti-Cruiser Bomb
Tactical Anti-Matter Warhead
Moderate Lock/Reload Time"

589, "The Barracuda torpedo has been in use by the PVN since the outbreak of the Terran-Vasudan War.  These antimatter weapons do much more damage than our Phoenix V missiles, but are smaller than normal space bombs.  The Barracuda is favored by the Vasudans for attacks against cruisers and stationary installations.  Osiris bombers commonly fire these weapons in pairs for knocking out turrets on capital ships.  The Barracuda's targeting system is prone to malfunctions, and a common field modification is to bypass the aspect lock system completely, permitting dumbfire launches."

590, "GTM-3 Tsunami Bomb"

591, "Special Issue
Anti-Cruiser Bomb
Tactical Anti-Matter Warhead
Long Lock/Reload Time"

592, "Intelligent tracking similar to GTA targeting system - prior to launch, communicates with ship computer, gathering data about enemy target types and whereabouts - slow, low maneuverability - antimatter warhead (500 tonne mass-to-energy conversion) - due to instability of antimatter, no more than 10 may be carried on board a GTA bomber at any given time, unless pilot is granted a special permit by an appropriate governing body.

The Tsunami has now become the standard Terran bomb used to take out large targets.  Its short life requires that you get within 1500 meters of the target before sending it off, and since it needs a lock to be fired, it takes a brave pilot to fly straight enough for long enough to let one of these fly.  A few Tsunamis will take out almost any ship, barring a destroyer.  The antimatter warhead also washes over shields a little, so as long as it isn't too close to the center of the blast, a fighter or bomber has a good chance of surviving detonation."

593, "GTM-X1 Serkr Bomb"

594, "Special Issue
Anti-Cruiser Bomb
Non-Conventional Warhead
Long Lock/Reload Time"

595, "Non-conventional thermonuclear warhead - estimated explosive yield not less than 3125 Mt - massive destructive capability not suited for tactical subsystem destruction - highest damage for its size of any GTA bomb - a single bomber carrying GTM-X1 ordnance has a damage potential two-thirds greater than one carrying GTM-N1 ordnance - single stage liquid fuel rocket booster - smallest turn radius and greatest linear velocity of any GTA bomb - highly efficient design for extended weapon lifetime.

The Serkr is a high-yield warhead developed as part of a top-secret GTI experimental weapons program.  Sacrificing anti-subsystem capability for sheer hull-damaging power, the Serkr delivers a destructive payload 33 percent greater than the more common Tsunami.  Like the Tsunami, the Serkr can be loaded on the Medusa medium bomber for tactical deployment -- and with a top speed of 95 m/s, this bomb stands a good chance of eluding even the fastest interceptor fighters.  GTI pilots have demonstrated the effectiveness of the Serkr against capital ships of all types."

596, "GTM-N1 Harbinger Bomb"

597, "Prototype
Anti-Capital Ship Bomb
Tactical Fusion Warhead
Extremely Long Lock/Reload Time"

598, "Fusion bomb surrounded by 3 salted fission bombs - propulsion unit is a half-size version of a regulation GTA fighter thruster (Class II) - given the weight of the payloads, the missile is slow despite the power of the thruster - as the Harbinger is exceptionally large, GTA bombers are limited to carrying 6 of these weapons at any given time - the resultant shock wave from this weapon is potentially deadly, due to the size of the payloads (5000 Mt in total) - use near allied installations or allied ship groupings is strongly discouraged by the GTA - most effective when used in preemptive defensive strike against non-military installations.

The Harbinger is our best chance of destroying the Lucifer."

; str02-old.fs2

600, "Put mission description here"

; str01.fs2

601, "Blah"

606, ""

611, "Nothing"

; str03.fs2

709, "Return to Base"

; str05.fs2

1008, "Return To Base"

; str05-old.fs2

1037, "Press $U$"

; str07.fs2

1071, "Weapons"

; str13.fs2

1209, "Marines"

; str01.fs2

1312, "Silence All Voices"

1320, "The motives of these pilots are unclear.  We do not believe their actions represent a large-scale insurrection within Terran ranks, but the situation must be contained."

; str02-old.fs2

1343, "The Pursuit"

1344, "A Vasudan ship, designated Aries 2, escaped our containment operation.  GTI has tracked the vessel to a Vasudan-controlled supply zone."

1345, "Aries 2 has communicated our objectives to Vasudan forces in that sector.  We are jamming all local transmissions, but we must achieve absolute containment."

1347, "The loss of innocent lives is regrettable but necessary to preserve the Terran-Vasudan alliance and defeat the Shivans.  You must not fail."

1349, "In order for you to survive you had to leave the escape pods be.  There was no way you could destroy the escape pods and live."

1350, "Aborting a mission without orders is insubordination, pilot.  You will have an opportunity to explain these actions at your court martial tomorrow, at 0800 hours."

1351, "Never abort a mission unless ordered to do so."

1352, "Destroy all enemies"

1353, "Destroy Einstein"

1354, "Eliminate all vessels in area"

1356, "This is Terran science vessel Einstein.  Break off your attack!  We've got volatile materials on board!"

1357, "Alpha 1, you have your orders.  Destroy the Einstein."

1358, "Alpha 1, move away from the Einstein!  Sensors reading massive energy surge!"

; str03-old.fs2

1359, "Ghosts"

1365, "You are grounded until further notice, pilot.  With none of the survivors in our custody, our intelligence efforts are futile."

1366, "Monitor the status of the escape pods."

1367, "You aborted your mission before completion.  You will be required to provide full testimony before a court martial.  Dismissed."

1369, "Escort escape pods until retrieval"

1370, "Escape pods, listen up.  Alpha will escort you until the retrieval ship gets here.  If you do not comply, they have orders to open fire."

1372, "Pods, stay clear.  We'll handle this."

; str02-old.fs2

1396, "Scientists"

; str08.fs2

1407, "Hellfire"

1417, "Destroy Hellfire"

1418, "Destroy all enemy fighters"

1419, "Incoming!"

; str05-old.fs2

1438, "Cloak and Dagger"

1463, "Warhead Material"

; str03-old.fs2

1466, "Destroy Bheema"

; str05-old.fs2

1474, "Protect the escape pods"

; str04.fs2

1482, "Field of Destruction"

; str02.fs2

1491, "Destroy Indra"

; str04.fs2

1493, "We've lost Iota 1!"

; str12.fs2

1503, "Destroy Bragi"

1504, "Destroy Hrid"

1505, "Destroy Buri"

1506, "Destroy Geri"

1507, "Destroy Scald"

; str09.fs2

1515, "The Return to Ross 128"

; str07.fs2

1534, "The Wait"

; str03.fs2

1543, "Destroy Asura"

; str18.fs2

1566, "For conspicuous gallantry at the risk of your own life, you have distinguished yourself above and beyond the call of duty in the highest traditions of military service.  You are hereby awarded the Galactic Service Medal, the most prestigious honor bestowed by the Galactic Terran Alliance."

; str15-old.fs2

1568, "Destroy Jotunheim"

1571, "Destroy Unknown Vessel"

; str12.fs2

1659, "Refugees"

; str02-old.fs2

1663, "Medical Supplies"

; str13.fs2

1713, "Technicians"

; str03.fs2

1751, "Protect Escape Pods"

1820, "Pilots, this mission is finished.  Jump back to base."

; str02-old.fs2

1944, "Ammunition"

; str05.fs2

1945, "Weapon Prototypes"

; str02-old.fs2

1947, "Food Supplies"

; str10.fs2

1948, "Destroy Freighters"

2208, "Destroy Cargo"

; str05-old.fs2

2393, "Explosives"

; str07.fs2

2434, "Indeterminate"

; str10.fs2

2435, "Destroy Transports"

; str15-old.fs2

2750, "Weapon prototypes"

; SilentThreatReborn.fc2

2784, "As the Great War rages on, you've been commissioned by Galactic Terran Intelligence for special intelligence operations.  Your objectives are to contain the Shivan onslaught and preserve the fragile Terran-Vasudan alliance.  But a series of suspicious events clouds the GTI's spotless record.  Is the GTI setting you up or are the Shivans spreading their evil rage?"

; str01.fs2

2785, "Wipe out the Vasudan pilots that survived the overzealous GTA assault.  Preserve the Terran-Vasudan alliance."

2786, "* GTD Krios
* Vega System
* 4/15/35

Welcome to the GTI

Congratulations, pilot.  You have been selected for the Special Operations branch of Galactic Terran Intelligence.  You passed GTI's rigorous medical and psychological examinations, and your record of service with Admiral Po and the GTD Intrepid has been exemplary.

You will lead Alpha wing of the 91st Phantoms.  As a pilot for the GTI, your missions will involve highly sensitive combat and containment operations.  These assignments are covert and classified.  Violation of classification protocol will result in court-martial and possible execution under the Counter-Intelligence and Espionage Act."

2787, "GTI Command Structure

The primary objective of the GTI is to provide Terran Command with accurate and comprehensive information regarding the tactics, technologies, activities, and strategic objectives of forces hostile to the GTA.  GTI is divided into three branches, each with its own fleet and each focusing on specific areas of intelligence.

Special Operations, headed by the GTD Krios, specializes in strategic assault and containment.  Our missions involve high-priority objectives in situations too sensitive, dangerous, or volatile for standard GTA forces.

Intelligence, led by the GTD Soyakaze, specializes in infiltration and espionage.  Intel primarily conducts reconnaissance and surgical strikes, and its missions are planned to provide minimal combat exposure."

2788, "GTI Command Structure (continued)

Research and Development, commanded by the GTD Repulse, specializes in the development of cutting-edge technologies.  R&D's missions involve the deployment and field-testing of advanced weapons and warship prototypes.  As an officer of the GTI, you will have access to these technologies before they become available to GTA pilots.

Normally, the three branches conduct joint operations in concert with one another, directed by a single command fleet.  Unfortunately, the loss of the GTD Legion in the Battle of Deneb earlier this year has forced us to decentralize our operations somewhat.  We will be taking our orders directly from GTA High Command."

2789, "Sol

All efforts to restore contact with Earth have failed.  As you know, the Sol jump node in Delta Serpentis collapsed shortly after allied forces tracked and destroyed the Lucifer during its subspace jump.  We believe the explosion of the Lucifer's five reactors created a subspace cataclysm that closed the node, perhaps permanently.  The cataclysm seems to have also closed the phasing nodes to Deneb and Beta Aquilae via some sort of chain reaction.  We currently have no way to access the Sol system via subspace.

As Terran scientists work toward reestablishing contact with Earth, an interim GTA command center has been set up in the Delta Serpentis system."

2790, "State of the Treaty

Cultural and political differences have threatened to undermine the Terran-Vasudan treaty since its inception.  After fourteen years of warfare, the relationship between the GTA and the PVE has been plagued with mutual distrust, misunderstanding, and a failure to comply with the treaty's mandate of full cooperation.

Preserving the fragile peace treaty is of the utmost importance.  Both the Terran-Vasudan war and the Shivan war have taken a heavy toll on our fleets, so our species must work together if we are to have any hope of defeating the Shivan threat.  As an officer of the GTI, it is your responsibility to conduct yourself in a manner worthy of your station, both in battle and in your personal interaction with Vasudan colleagues.  Should tensions escalate out of control, Special Operations will brief you on the appropriate method for containing the situation."

2791, "New Technology: Leech Cannon

You are being issued the new Leech Cannon prototype.  The Leech Cannon drains the power supply of enemy fighters.  Use the gun to disable afterburners, energy weapons, and shields.  No subsystems targeting is required: just point and shoot.  The Leech Cannon is an anti-fighter weapon with minimal effect against larger vessels."

2792, "At approximately 1530 hours, $f Terran and $f Vasudan fighters repelled a Shivan attack against $f Outpost $f Fermi, one of our primary communication terminals in $b Vega.  During the skirmish, Terran pilots fired on our Vasudan allies with intent to kill.  Terran Command fears that if the $f PVE learns of this incident, the treaty and our hopes of defeating the $h Shivans will soon collapse."

2793, "Your objective will be to sanitize the area to prevent news of this incident from spreading beyond our secure zone.  Destroy everything but the $f GTI communications terminal.  The loss of innocent lives is regrettable but necessary to preserve the $f Terran-Vasudan $f alliance and defeat the $h Shivans.  You must not fail."

2794, "We have a window of five minutes during which we must complete this operation.  Staying any longer risks detection by $f GTA or $f PVE forces.  Get in, do your job, and get out.  Good luck."

2795, "Well done, pilot.  You executed a clean sweep of the area and contained a volatile incident.  Vasudan Command remains unaware of these events and the peace treaty remains intact."

2796, "For demonstrating a strong sense of duty and a commitment to preserving the Terran-Vasudan alliance at any cost, you are awarded the Commendation Medal."

2797, "Unfortunately, your squadron destroyed the GTI communications terminal in your haste to prevent the PVT Aries from using it.  While the terminal was not as important as the success of today's mission, it still represents a significant GTI asset that must now be replaced.

This incident will be noted in your record.  I suggest you avoid such losses in the future."

2798, "Don't destroy the terminal."

2799, "You failed to eliminate the PVT Aries before it communicated our objectives to Vasudan forces.  The Vasudans view this incident as an outright betrayal of the Terran-Vasudan alliance and have threatened to withdraw from the peace treaty.  Terran Command has disavowed the entire Special Operations branch of GTI and is struggling to avoid outright war.  You and your squadron will pay for your incompetence."

2800, "Destroy the transport Aries before it can use the communications terminal to send a message, preferably before it docks with the terminal in the first place.  Don't forget to use your wingmen."

2801, "You allowed the PVT Pisces to escape and notify Vasudan forces of today's events.  This incident has jeopardized our treaty with the Vasudans and threatens to plunge the alliance into outright war.  Terran Command has disavowed all support of our operations.  You and your squadron will pay for your incompetence."

2802, "Be aware of the positions of all ships in the area.  You cannot afford to let any escape.  Don't forget to use your wingmen."

2803, "You exceeded your operational window, pilot.  Although you completed your objectives within your five-minute window, you failed to depart the engagement zone before being detected.  You have compromised our secrecy, and the GTA may now have sufficient evidence to reconstruct the original incident.  You are grounded permanently."

2804, "Return to base within your five-minute window."

2805, "You exceeded your operational window, pilot.  By exposing this mission you have jeopardized our treaty with the Vasudans and caused the GTA to disavow support of our operations.  You are grounded permanently."

2806, "Complete your mission within your five-minute window."

2807, "You did not have authorization to return to base, pilot.  Your actions jeopardized the lives of those involved in this mission and the GTA's objectives in this theatre.  Desertion is grounds for a court martial, and you are confined to quarters pending your preliminary hearing.  Until a military court decides otherwise, you are hereby stripped of your wings and all privileges bestowed upon you as an officer of the Galactic Terran Alliance."

2808, "Do not depart without authorization."

2809, "Warheads"

2810, "Sanitize the Area"

2811, "Sanitize the area"

2812, "Avoid detection"

2813, "Don't exceed your operational window"

2814, "Attention all pilots.  The PVT Aries is en route to the Fermi communications terminal.  If that transport docks, it will be able to use the terminal to bypass our jamming field.  Destroy Aries ASAP."

2815, "Transport Aries is acquiring control of the terminal!  Destroy Aries immediately!"

2816, "This is the PVT Aries calling any PVN ships.  We are under attack from Terran forces.  Request immediate assistance."

2817, "This is the PVD Vanguard reporting.  Terrans, explain this treachery!"

2818, "Traitors!  Vasudan warriors, engage all Terran ships with extreme prejudice.  This betrayal will be answered with the full fury of the Vasudan Navy!"

2819, "This is Admiral Po of the GTD Intrepid.  Terran ships, explain your presence here.  There are no allied units authorized in this area."

2820, "Identify yourselves at once.  There's no record of any of your ships in the fleet manifest.  What's going on here?"

2821, "Pilots, this mission has been compromised.  Return to base."

2822, "Pilots, you have five minutes to complete your objectives.  The Krios will jam long-range communications to prevent any ships from transmitting beyond our containment zone."

2823, "Sanitize the area of all hostiles.  All voices must be silenced to preserve the Terran-Vasudan alliance."

2824, "Pilots, the transport Pisces is heading for the jump node.  Destroy it before it can jump."

2825, "Pisces has escaped!  Situation out of control.  Return to base."

2826, "The area is clear.  GTD Krios departing now.  Alpha and Beta, follow us out."

2827, "Pilots, you have less than one minute before the next patrol.  Return to base before you're detected!"

2828, "Pilots, you have less than one minute before the next patrol.  Finish your mission and jump out before you're detected!"

2829, "Transport Pisces is almost at the jump node!  Destroy it now!"

; str02.fs2

2830, "More Than Meets the Eye"

2831, "Reinforce a secure Vasudan convoy under attack by Shivans."

2832, "We've just received an urgent request for assistance from $f Vasudan $f Intelligence.  $h Shivans have attacked a Vasudan science convoy conducting classified research in the $b Deneb $b asteroid $b belt."

2833, "Although the convoy repelled the first wave of fighters, they expect the Shivans to return at any time.  $f Alpha and $f Beta, we're deploying your wings to reinforce their position."

